Prefecture,Sake,Sake_compound,Continuous_distillation_Japanese_spirits_shochu,Simple_system_distillation_Japanese_spirits_shochu,Mirin_rice_cooking_wine,Beer,Fruit_wine,Sweet_Fruit_wine,Whisky,Brandy,Sparkling_liquor,Alcohol_for_material/Spirits,Liqueur,Others
Hokkaido,"19,513","1,192","30,744","5,689","3,697","110,583","15,913",408,"8,578",225,"29,395","20,100","127,766","15,021"
Aomori,"6,009",497,"6,621","3,198",512,"21,996","2,787",79,"2,077",61,"8,448","8,079","32,989","4,974"
Iwate,"5,951",315,"4,802","3,538",564,"22,597","2,859",62,"1,679",39,"6,086","7,455","28,278","4,415"
Miyagi,"10,239",524,"6,509","7,317","1,673","40,422","6,125",149,"4,499",83,"11,083","12,651","47,373","6,818"
Akita,"6,639",409,"5,271","2,174",424,"17,885","1,934",58,"1,573",32,"5,438","5,741","24,488","4,215"
Yamagata,"6,328",390,"5,128","2,213",829,"18,564","2,505",64,"1,649",32,"4,113","5,177","21,635","2,821"
Fukushima,"10,160",420,"4,371","6,762","1,272","31,430","3,434",91,"2,817",62,"8,226","8,799","34,169","5,246"
Ibaraki,"9,983",554,"7,239","7,909","1,359","37,510","4,710",108,"3,938",76,"10,225","12,852","52,185","7,867"
Tochigi,"7,324",323,"6,169","4,824",885,"27,012","3,725",94,"2,745",62,"6,578","8,430","33,954","5,740"
Gunma,"6,587",307,"8,235","3,379","1,249","25,160","3,559",86,"2,551",44,"6,816","7,099","32,975","5,382"
Saitama,"21,314",912,"25,246","13,110","3,210","84,525","17,862",299,"8,550",194,"21,129","31,271","123,260","19,723"
Niigata,"18,017",836,"8,567","4,556","1,691","42,424","4,656",113,"2,971",60,"10,980","11,964","50,087","7,199"
Nagano,"10,949",331,"5,863","5,827","1,530","35,686","7,005",147,"3,026",74,"7,114","6,900","36,997","5,346"
Chiba,"18,015",868,"17,664","14,536","5,243","82,017","14,533",341,"9,093",500,"21,157","29,731","116,173","18,079"
Tokyo,"58,293","3,050","58,300","36,623","15,040","434,482","95,361","2,279","36,407","1,114","58,470","88,137","309,772","43,571"
Kanagawa,"25,435","1,112","29,672","20,561","4,727","131,611","26,924",543,"13,024",263,"33,401","45,741","168,812","26,864"
Yamanashi,"3,575",283,"2,938","3,248",659,"15,939","5,299",113,"2,205",48,"3,456","3,881","15,375","2,925"
Toyama,"5,918",146,"2,678","2,825",602,"21,220","2,107",45,"1,402",34,"6,330","7,749","21,352","3,387"
Ishikawa,"6,112",216,"2,358","3,142",920,"21,394","2,276",92,"1,367",41,"5,366","5,736","21,502","3,894"
